fragment_smiles,source_label,n_conformers
O=C(c1ccoc1)[*:1],ZINC000005412472,2
C=C/C=C/[*:1],ZINC000086002140,1
C/C=C\C#CC#C[*:1],ZINC000086002140,1
C=C/C=C/C=C\[*:1],ZINC000086002140,1
C/C=C\C#C[*:1],ZINC000086002140,1
C/C=C\[*:1],ZINC000086002140,1
O=C(CO)[C@H](O)[*:1],ZINC000261499642,3
C[C@H](CO)C[*:1],ZINC000014556659,6
C[C@H](CO)CC(=O)[*:1],ZINC000014556659,7
OC[C@@H](O)C(O)[*:1],ZINC000018068098,6
O=C1CCCN1C[*:1],ZINC000524731531,2
O=C1CCCN1[*:1],ZINC000524731531,1
CNCO[*:1],ZINC000085567957,3
O=S(=O)(O)CC[*:1],ZINC000012494268,2
O=S(=O)(O)C[*:1],ZINC000012494268,1
N#C/C(=C/[*:1])CO,ZINC000014455126,3
N#C/C(=C/C[*:1])CO,ZINC000014455126,5
C/C(=C\C(=O)O)[*:1],ZINC000013303590,1
Cc1ncsc1C[*:1],ZINC000021999704,2
Cc1ncsc1[*:1],ZINC000021999704,1
CCCCC/C=C/[*:1],ZINC000002040376,8
CCOC(=O)CC[*:1],ZINC000002040376,7
CCOC(=O)C[*:1],ZINC000002040376,6
OC[C@H]1CO[C@H]([*:1])O1,ZINC000002039297,5
FC(F)(F)[*:1],ZINC000005399347,1
C[C@H](Cl)[C@](C)(O)[*:1],ZINC000100784021,3
C[C@H](Cl)[*:1],ZINC000100784021,1
N[C@H](C(=O)O)[C@@H](O)[*:1],ZINC000001747072,3
C[C@@H]([C@H](N)C(=O)O)[*:1],ZINC000001747072,3
C[C@H](O)[C@H](N)[*:1],ZINC000001747072,3
ClC(Cl)(Cl)[*:1],ZINC000044675977,1
O=C1CC[C@H](C[*:1])O1,ZINC000005510517,3
O=C1CC[C@H]([*:1])O1,ZINC000005510517,2
C/C(Cl)=C(/C)[*:1],ZINC000253531123,1
C1CN[C@@H]([*:1])C1,ZINC000002115314,2
CC(=O)OC/C=C\[*:1],ZINC000014818208,6
Cc1ncc(C[*:1])s1,ZINC000032150846,4
Cc1ncc([*:1])s1,ZINC000032150846,1
CCc1cnc([*:1])s1,ZINC000032150846,2
Cc1scnc1[*:1],ZINC000095618234,1
O=COCC[*:1],ZINC000095618234,6
Cc1scnc1C[*:1],ZINC000095618234,3
NC1=NC(=O)CN1[*:1],ZINC000000967189,1
C[C@H]1O[C@]1(C)[*:1],ZINC000523041896,1
CC[C@H](C(C)C)[*:1],ZINC000118936809,5
CC[C@@H](C[*:1])C(C)C,ZINC000118936809,9
c1cnn(CC[*:1])c1,ZINC000299754341,5
c1cnn(C[*:1])c1,ZINC000299754341,2
c1cnn([*:1])c1,ZINC000299754341,1
CN1CCC[C@H]1[*:1],ZINC000014921505,2
CCOC(=O)CS[*:1],ZINC000002054771,8
C1CCC(C[*:1])C1,ZINC000002054771,3
C1CCC([*:1])C1,ZINC000002054771,2
