framework_scaffold	count
c1cc2cc3nc(cc4ccc([nH]4)cc5nc(cc1[nH]2)C=C5)C=C3	22
c1ccc(cc1)[C@@H]2c3c(c4ccccc4[nH]3)C[C@@H]5N2CCNC5	22
C1CNC1	22
c1ccc(cc1)CCN2C[C@@H]3CN[C@]4([C@@H]3C2)CNc5c4cccc5	22
C1CC[C@H]2[C@H](C1)CC[C@H]3[C@H]2CC[C@H]4[C@@H]3C[C@@H]5[C@H]4C[C@@]6(O5)CCCCO6	22
C1CC[C@H]2[C@H](C1)CC[C@H]3[C@H]2CC[C@H]4[C@@H]3C[C@@H]5[C@H]4C[C@]6(O5)CCCCO6	22
c1ccc2c(c1)CC(=C(O2)c3ccc(cc3)O[C@H]4CCCCO4)O[C@@H]5CCCCO5	22
C1CC[C@H]2[C@@H](C1)CC[C@@H]3[C@@H]2CC[C@H]4[C@H]3C[C@@H]5[C@@H]4C[C@@]6(O5)CCCCO6	22
c1ccc(cc1)/C=C\c2cccc(c2)O[C@@H]3CCCCO3	22
c1ccc2c(c1)NC[C@@H](O2)O[C@H]3CCCCO3	21
c1ccc(cc1)CCOCc2ccccc2	21
c1ccc(cc1)C2=C(Cc3ccc(cc3O2)O[C@H]4CCCCO4)O[C@@H]5CCC[C@@H](O5)CO[C@H]6CCCCO6	21
c1ccc2c(c1)cccc2O[C@@H]3CCCCO3	21
c1ccc(cc1)[C@H]2OCCO2	21
C1C[C@H](OC1)CCCCCCCC2=CCOC2	21
C1CC[C@H]2[C@@H](C1)CC[C@@H]3[C@@H]2CC=C4[C@H]3CC[C@@H]5[C@H]4CCCC5	21
c1ccc(cc1)/C=C/c2ccccc2	21
c1ccc(cc1)C2=CCc3c(cccc3O[C@H]4CCCCO4)O2	21
c1cc2n(c1)CCC2	21
C1C[C@H]2CCC=CC[C@@H]2C1	21
c1ccc2c(c1)Cc3cccc(c3C2)O[C@@H]4CCCCO4	21
c1ccc(cc1)/C=C/CNc2ccccc2	21
c1ccc(cc1)NCN2CCC3(CC2)c4cccn4-c5ccccc5N3	21
C1C[C@H]2C[C@H](C1)C2	21
C1CC[C@@H]2[C@H](C1)CC[C@H]3C2=CC[C@@H]4[C@H]3CC[C@@H]5[C@H]4CC[C@H](C5)O[C@@H]6CCCCO6	21
c1ccc-2c(c1)C[C@@H]3c4c2cccc4CCN3	21
c1ccc(cc1)CO[C@@H]2C[C@H]3[C@@H]2C=C[C@H]4[C@H]3CCC4	21
c1ccc(cc1)N2C[C@@H]3c4c(c5ccccc5[nH]4)CCN3C2	21
c1ccc(cc1)CCCO[C@@H]2CCCCO2	21
C1C[C@H]2[C@H]3CC[C@H]([C@]34CO4)O[C@H]2C=C1	21
c1ccc(cc1)[C@@H]2CC(=NC3(N2)CCNCC3)c4ccccc4	20
c1ccc2c(c1)Cc3c(cccc3O[C@@H]4CCCCO4)[C@H]2[C@H]5CCCCO5	20
C1CC[C@@H]2[C@@H](C1)CC[C@H]3[C@H]2CC=CC3	20
c1ccc2c(c1)Cc3ccccc3N2	20
C1CC[C@H]2[C@@H](C1)CC[C@@H]3[C@H]2CC[C@H]4[C@@H]3CCC4	20
