smiles	zinc_id	tags
CCCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCC	ZINC000150372403	endogenous in-man
C[C@]12CCC[C@]3(CO3)[C@@H]1C[C@@H]1[C@@H](CN(CCO)Cc3ccccc3)C(=O)O[C@@H]1C2	ZINC000004028006	biogenic
CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC	ZINC000150375862	endogenous in-man
CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)OC[C@H](CO[P@@](=O)(O)OCC[N+](C)(C)C)O/C=C\CCCCCCCC/C=C\CCCCCC	ZINC000085562782	endogenous in-man
C=C1CCC[C@]2(C)CC[C@@](O)(C(=C)C=O)C[C@H]12	ZINC000085756940	endogenous in-man
CC(=O)/C=C/[C@]1(O)C(C)(C)C[C@H](O)C[C@]1(C)O	ZINC000253390618	endogenous in-man
CCCCCCCCCCCCCCCCCCCCCc1cc(O)cc(O)c1	ZINC000072176181	endogenous in-man
Cc1ccc(NC2=CC(=O)c3ccccc3C2=O)cc1	ZINC000000077308	biogenic
CC(C)=CCc1cc([C@H]2Oc3c(ccc4c3C=CC(C)(C)O4)C(=O)[C@@H]2O)ccc1O	ZINC000038497796	endogenous in-man
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC	ZINC000003860906	endogenous investigational
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O	ZINC000014760542	endogenous in-man
C=C1[C@@H](OC(=O)/C=C(\C)CC)C[C@@H](C(C)C)[C@H]2[C@@H]([C@@H](C)OC(C)=O)C(=O)C[C@@H]12	ZINC000015107420	endogenous in-man
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCC	ZINC000095621078	endogenous in-man
Cc1ccc2c(c1)c(=O)c1c3n2CCN(CC(N)=O)[C@H]3CC1	ZINC000057448070	biogenic
CCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC	ZINC000150360650	endogenous in-man
COCCN(C[C@@H]1CCCN2CCCC[C@H]12)C(=O)CCCc1nc(O)c2ccccc2n1	ZINC000409413461	biogenic
CC1=C(C)C(=O)O[C@H]([C@H](C)[C@H]2C[C@H](O)[C@@]3(O)[C@@H]4C[C@@H]5O[C@@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@H]4CC[C@]23C)C1	ZINC000118936936	endogenous in-man
CCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCC	ZINC000095623379	endogenous in-man
CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCC	ZINC000261495118	endogenous in-man
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	ZINC000150371244	endogenous in-man
CO[C@@H]1C[C@H]2C(C)(C)[C@@H](OC(C)=O)CC[C@]2(C)C2=C1[C@]1(C)[C@H](O)C[C@H]([C@@H](C)CC/C=C(/C)C(=O)O)[C@@]1(C)CC2	ZINC000257407697	endogenous in-man
CC(C)(C)c1cc(O)cc(C(C)(C)C)c1O	ZINC000001841214	endogenous in-man
CCCCCc1cnco1	ZINC000095620001	endogenous in-man
CCCCCOC(=O)CCCCC	ZINC000001677789	endogenous in-man
C[C@@H]1C(=O)CC[C@@H]2[C@]1(C)[C@@H](O)C[C@@H](C)[C@]2(C)COc1ccc2ccc(=O)oc2c1	ZINC000257636609	endogenous in-man
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCCC)COC(=O)CCCCCCCCCCCCCC	ZINC000095622243	endogenous in-man
CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC	ZINC000150362661	endogenous in-man
CCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCCCC	ZINC000150373048	endogenous in-man
CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCCCC	ZINC000150355129	endogenous in-man
COc1cc(OC)c2c(c1Cl)O[C@@]1(C(=O)C=C(NCc3nc4ccccc4[nH]3)C[C@H]1C)C2=O	ZINC000604404719	biogenic
C[C@](O)(CC(=O)O)CC(=O)OC[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@H](O)[C@H]1O	ZINC000257416924	endogenous in-man
CO[C@H]1CCC[C@H](C)OC(=O)Cc2cc(O)cc(O)c2C(=O)C1	ZINC000013412695	biogenic in-vitro
CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC	ZINC000150379891	endogenous in-man
CCCC/C=C\CCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCCCC	ZINC000150365994	endogenous in-man
CCCCCCCC[C@@H]1CC[C@@H]2[C@@H]3CC=C4C[C@@H](Cl)CC[C@]4(C)[C@@H]3CC[C@]12C	ZINC000253500066	biogenic
CCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCC	ZINC000095623186	endogenous in-man
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC	ZINC000150358029	endogenous in-man
CO[C@@H]1[C@@H](O)[C@H](O)[C@@H](O[C@@H]2[C@H](CO)O[C@H](O)[C@@H]2O)O[C@H]1C(=O)O	ZINC000261499678	endogenous in-man
CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC	ZINC000150372596	endogenous in-man
CC(=O)O[C@@H]1C=C([C@@H](C)[C@H]2CC(C)=C(C)C(=O)O2)[C@@]2(C)CC[C@H]3[C@@H](C[C@@H](O)[C@@]4(Cl)CC=CC(=O)[C@]34C)[C@]12O	ZINC000119396079	endogenous in-man
CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC	ZINC000150373789	endogenous in-man
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCCCC	ZINC000150365501	endogenous in-man
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCC	ZINC000150379006	endogenous in-man
OC[C@H]1O[C@@H](Oc2cc([C@@H]3Oc4cc(O)cc(O)c4C[C@@H]3O)ccc2O)[C@@H](O)[C@@H](O)[C@@H]1O	ZINC000014642816	endogenous in-man
C[C@@H]1O[C@@H](Oc2ccc(CC#N)cc2)[C@@H](O)[C@@H](O)[C@@H]1O	ZINC000014502896	endogenous in-man
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCCCC	ZINC000150367479	endogenous in-man
C=CCc1ccc(O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)c(O)c1	ZINC000257546440	endogenous in-man
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H]1CC[C@]2(C)[C@@H](CC[C@@]3(C)[C@@H]2CC=C2[C@@H]4[C@@H](C)[C@@H](C)CC[C@@]4(C)CC[C@]23C)C1(C)C	ZINC000150353539	endogenous in-man
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@@H](COCCCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCC	ZINC000095621434	endogenous in-man
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCCCC	ZINC000150355468	endogenous in-man
Cc1ccc(NC(=O)[C@@H]2CN(S(=O)(=O)C3CC3)CC23CCCCC3)c(C)c1	ZINC000065259628	biogenic
CCCC/C=C\CCCCCCCC(=O)OC[C@H](CO[P@@](=O)(O)OCCN)O/C=C\CCCCCCCC/C=C\CCCCCC	ZINC000085564757	endogenous in-man
NC[C@@]1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O	ZINC000005192324	endogenous in-man
CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](CO[P@](=O)(O)O[C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O)OC(=O)CCCCCCC/C=C\CCCCCCCC	ZINC000261499138	endogenous in-man
C=CC1=C(C)C(/C=c2/[nH]/c(=C\c3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)=NC1=O	ZINC000100358741	endogenous in-man
CN1c2ccc(cc2)C[C@@H](O)N(C)c2ccc(cc2)C[C@@H]1O	ZINC000015119698	endogenous in-man
CC(=C/C=C/C(C)=C/C=C/C=C(/C)CO)/C=C/[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C	ZINC000014854695	endogenous in-man
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC	ZINC000169623226	endogenous in-man
CCCCCCC[C@@H]1O[C@@H]1CC#CC#CC1=CC[C@@H]2CC/C(C)=C3/CC(C)(C)[C@H]3CC[C@]2(C)O1	ZINC000257560614	endogenous in-man
CC(C)=CCC[C@]1(C)[C@H](CC=C(C)C)C[C@@]2(CC=C(C)C)C(=O)[C@]3(CC=C(C)C)O[C@]2(O)[C@]1(C(=O)C(C)C)C3=O	ZINC000100778721	endogenous in-man
CN(CCC[C@H](O)c1ccc[n+]([O-])c1)N=O	ZINC000005965554	endogenous in-man
C[C@@H]1S[C@H]2CCCN2[C@@H](C)S1	ZINC000032167034	endogenous in-man
C[C@@H]1CC[C@@H]2C(C(=O)O)=CO[C@@H](O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)[C@@H]21	ZINC000238746471	endogenous in-man
CCOC(=O)N1CCC2(CC1)N=C(c1ccccc1O)C[C@@H](c1cc(F)ccc1F)N2	ZINC000065298635	biogenic
O=C1C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C(O)/C(=C(O)/C=C/c2ccc(O)cc2)C(=O)[C@@]1(O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	ZINC000252487733	biogenic in-vitro
CC(C)(C)NC[C@@H](O)c1ccc(O)c(O)c1	ZINC000002015274	biogenic in-man
CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCCCC	ZINC000685934223	endogenous in-man
CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC	ZINC000150359813	endogenous in-man
C=C(C)[C@@H]1CC[C@@]2(CO)[C@H](O)C[C@]3(C)[C@H](CC[C@@H]4[C@]3(C)CC[C@@H]3C(C)(C)[C@@H](O)CC[C@@]34C)[C@@H]12	ZINC000256446523	endogenous in-man
CC[C@@](C)(O)C(=O)O[C@H]1C(=O)O[C@H]2C[C@H]3C(C)=C[C@H](O)[C@H](O)[C@]3(C)[C@@H]3[C@]4(O)OC[C@@]23[C@H]1[C@@H](C)[C@H]4O	ZINC000100778956	endogenous in-man
COc1ccc2c(c1)O[C@H](O)C(=O)N2	ZINC000006018747	endogenous in-man
C=C1C(=O)O[C@@H]2C[C@H](C)[C@@H]3CC[C@]4(C)O[C@@]34C[C@H]12	ZINC000257376484	endogenous in-man
CC/C=C\C/C=C\C/C=C\C[C@@H]1C(=O)C[C@H](O)[C@H]1/C=C/[C@@H](O)CCC(=O)O	ZINC000100770509	endogenous in-man
Cc1c(/C=C/c2nc3ccccc3c(=O)n2CCCO)c2ccccc2n1C	ZINC000003999859	biogenic
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC	ZINC000150363458	endogenous in-man
OCc1cccnc1	ZINC000000001799	biogenic investigational
CSC1=N[C@@H](CC(C)=O)c2c([nH]c3ccccc23)S1	ZINC000013480042	endogenous in-man
